cancel_id,user_id,subscription_id,cancel_date,cancel_reason,churn_type
1,2727,10,2024-07-13,Stage join choice represent majority save.,voluntary
2,1406,11,2025-01-23,Year election board study growth.,involuntary
3,9213,14,2025-06-02,Democrat thousand someone loss thus.,voluntary
4,6056,17,2024-02-27,Month fall mouth democratic understand small bring white.,voluntary
5,1775,19,2024-10-19,Whether pattern hand maybe.,voluntary
6,8584,22,2026-04-14,First up foot hospital alone.,voluntary
7,1047,25,2024-03-18,Blue rest fight physical number culture among.,involuntary
8,1689,28,2024-03-31,Two he marriage area rock green.,voluntary
9,5084,29,2024-06-13,Fly some attack concern argue.,involuntary
10,5207,32,2023-11-13,Sport institution between series effort control old.,voluntary
11,1683,36,2024-03-24,Side crime allow pressure upon out.,involuntary
12,5994,38,2026-02-06,Attorney step parent stage.,involuntary
13,9319,40,2024-07-09,Quickly continue certainly key.,voluntary
14,5454,44,2025-12-14,Better need single girl base travel.,voluntary
15,8833,46,2024-12-24,Seem listen fast Congress draw night medical.,voluntary
16,4055,49,2025-08-20,Watch series commercial lot.,voluntary
17,5411,53,2024-12-27,Ago fact thousand performance take role television.,involuntary
18,2582,57,2024-04-02,Environment movement final we.,involuntary
19,6296,58,2024-08-19,Point keep present minute.,voluntary
20,8485,61,2025-01-15,Night couple long network.,involuntary
21,9103,66,2026-04-05,Care look fact staff meet pretty.,voluntary
22,9873,71,2024-07-06,Near buy check assume real program.,involuntary
23,3170,74,2023-12-22,Rather spend human outside late represent.,involuntary
24,3549,75,2024-07-02,Price anyone popular difference.,involuntary
25,7921,76,2026-05-21,Hot among mention board.,involuntary
26,6164,79,2024-01-30,Watch majority feel face.,voluntary
27,6534,80,2023-12-04,Name price soon discover federal any career.,voluntary
28,3843,82,2024-09-04,Rock campaign matter drop sure should argue.,involuntary
29,218,89,2025-03-06,Indicate dinner by can.,involuntary
30,4662,90,2025-04-26,Method assume appear town long ok.,involuntary
31,821,91,2024-04-04,Its than way at I yard anything.,involuntary
32,9614,92,2024-06-08,Nature them woman standard several.,voluntary
33,1135,94,2024-03-11,President skill song entire carry game top.,voluntary
34,5221,99,2025-05-17,Section memory fact government maybe next writer fall.,involuntary
35,4648,101,2024-06-29,Common form concern through.,voluntary
36,9342,102,2024-02-08,Way know will way gas commercial.,voluntary
37,376,105,2024-07-19,Begin letter much defense consumer.,voluntary
38,2273,106,2026-05-05,Character weight weight need.,involuntary
39,5978,107,2025-06-25,Have suggest hospital fear who money game.,involuntary
40,6437,108,2024-12-25,Man machine ability happen wife measure student third.,involuntary
41,3247,118,2023-10-17,Its recognize few stage.,voluntary
42,8630,125,2024-07-23,Deal pattern most mind.,voluntary
43,3615,129,2025-08-25,Activity administration career bank decide consider TV.,voluntary
44,6959,130,2025-05-17,Force war idea medical.,voluntary
45,7031,133,2025-10-25,Assume either remember event.,involuntary
46,4202,135,2024-12-23,Level choice box place find bring color.,voluntary
47,4007,138,2024-07-18,Voice line lawyer court total contain.,involuntary
48,1702,145,2023-11-23,Agency believe tend.,voluntary
49,8697,148,2025-05-14,Small itself particular various party property light exist.,involuntary
50,9702,152,2024-06-14,Act ten create play grow dream ten.,involuntary
