payment_id,user_id,subscription_id,payment_date,amount,payment_method,status
1,3125,7922,2024-01-03,19.99,paypal,failed
2,4289,8064,2024-03-02,9.99,credit_card,failed
3,8283,4121,2024-03-28,19.99,paypal,success
4,8178,2275,2024-02-16,9.99,paypal,refunded
5,8725,10138,2025-01-11,199.99,paypal,refunded
6,8099,9930,2024-06-23,19.99,paypal,failed
7,3374,14588,2024-03-11,199.99,credit_card,refunded
8,2403,1981,2023-10-16,19.99,paypal,success
9,31,776,2023-12-05,19.99,paypal,failed
10,7943,9320,2024-08-25,199.99,paypal,success
11,8426,11354,2024-09-06,19.99,paypal,failed
12,8426,11127,2024-08-25,199.99,paypal,success
13,2626,12263,2024-09-02,19.99,credit_card,failed
14,5099,2065,2023-08-04,199.99,paypal,success
15,4943,12406,2025-03-30,199.99,paypal,success
16,1572,12403,2025-06-14,19.99,paypal,failed
17,3155,1806,2025-06-02,9.99,paypal,failed
18,8318,8615,2024-12-02,9.99,paypal,success
19,6747,429,2024-12-15,199.99,paypal,failed
20,1933,5143,2023-11-29,19.99,paypal,failed
21,8129,12741,2025-04-09,19.99,paypal,refunded
22,9977,9482,2023-11-06,19.99,credit_card,refunded
23,3571,10291,2024-03-22,9.99,paypal,success
24,7923,13781,2024-04-17,19.99,credit_card,refunded
25,2252,4923,2024-03-30,199.99,credit_card,success
26,3493,5221,2025-04-07,199.99,credit_card,refunded
27,2271,10744,2023-08-02,19.99,paypal,success
28,2965,14250,2024-04-16,199.99,credit_card,success
29,4656,14792,2023-08-22,9.99,paypal,failed
30,4797,14840,2025-04-03,19.99,credit_card,failed
31,9638,2337,2024-04-30,199.99,paypal,refunded
32,8182,12814,2024-08-08,9.99,paypal,success
33,4525,14956,2023-08-15,19.99,credit_card,failed
34,9734,7007,2024-07-27,19.99,paypal,success
35,1959,5465,2025-04-10,19.99,credit_card,success
36,9371,14386,2024-07-10,9.99,credit_card,refunded
37,5545,7569,2024-07-01,9.99,paypal,failed
38,1255,6140,2025-03-02,199.99,paypal,success
39,2544,10337,2025-05-21,19.99,credit_card,failed
