id,user_id,subscription_id,promo_id,applied_date
1,2796,8291,28,2024-11-28
2,1799,2816,3,2024-03-14
3,8548,954,13,2024-11-08
4,5320,9532,29,2024-04-10
5,568,6024,49,2023-10-03
6,9769,4704,21,2024-07-05
7,6721,6420,26,2023-07-18
8,8262,4818,41,2024-05-06
9,781,12518,32,2023-11-13
10,4069,6627,47,2024-03-12
11,7236,10923,36,2025-02-23
12,651,12179,35,2023-11-10
13,9539,278,44,2024-10-20
14,9134,14521,38,2025-04-08
15,3813,9182,21,2023-07-26
16,8179,14244,16,2024-05-11
17,2868,4132,26,2025-01-28
18,3827,5996,10,2024-08-17
19,3915,13809,26,2023-12-30
20,7003,9909,22,2025-02-19
21,2313,6399,4,2023-10-12
22,1414,2814,16,2025-01-17
23,9403,8676,13,2024-09-20
24,8398,5859,22,2023-11-10
25,9499,13189,1,2024-01-04
26,39,10779,31,2024-08-21
27,9278,11451,10,2024-05-23
28,9981,134,46,2025-03-09
29,9003,2134,33,2023-12-07
30,5304,10650,49,2023-08-01
31,8954,9274,40,2025-06-17
32,8309,10615,20,2023-09-16
33,554,6258,36,2023-08-19
34,6572,4466,33,2023-10-06
35,6408,13774,13,2023-07-24
36,6675,12370,3,2025-03-13
37,9210,1384,34,2024-08-25
38,1323,1863,33,2025-04-10
39,1699,8313,27,2024-09-19
40,2288,7826,5,2023-09-21
41,2815,14518,42,2025-01-07
42,7448,3782,16,2025-06-20
43,8101,6400,24,2024-11-23
44,8227,932,15,2024-02-18
45,580,14902,40,2024-02-25
46,2381,11649,43,2023-10-13
47,2264,13997,4,2024-06-22
48,1697,6403,7,2023-08-06
49,5402,9613,9,2025-03-20
50,2206,8042,14,2024-01-13
51,4151,3244,9,2024-01-19
52,4277,10299,10,2024-11-23
53,9291,3441,46,2024-01-15
54,2829,7416,43,2023-08-23
55,8448,6396,15,2025-02-27
56,9513,8867,11,2025-06-24
57,3154,8961,42,2024-11-04
58,4178,13735,46,2025-05-06
59,1752,9218,33,2024-10-23
60,1515,8694,34,2025-06-10
61,9427,12211,10,2024-05-06
62,6721,13436,18,2024-12-04
63,4468,3412,16,2023-09-29
64,795,9605,24,2024-03-02
65,4246,7592,11,2023-10-31
66,5233,11773,46,2024-02-14
67,5154,1609,6,2023-09-02
68,7228,957,12,2024-03-27
69,312,7879,42,2023-11-15
70,3701,7867,30,2024-03-09
71,4008,2320,19,2023-12-18
72,351,4395,3,2023-07-30
73,7652,5817,18,2025-05-27
74,2952,5920,31,2023-09-23
75,9779,476,34,2024-11-17
76,450,8040,47,2023-07-23
77,8197,5137,23,2024-11-26
78,3931,10054,10,2025-04-05
79,2285,12620,40,2024-10-03
80,2874,7343,43,2025-04-26
81,9389,6273,32,2023-09-30
82,5447,14036,46,2024-03-07
83,2946,6691,46,2024-04-29
84,8533,13568,3,2024-08-29
85,5972,13473,23,2023-12-10
86,3781,5446,20,2024-02-16
87,1881,13521,5,2024-04-21
88,3999,1810,48,2025-04-07
89,3793,461,10,2023-11-16
90,7070,11765,1,2024-06-24
91,2472,10677,28,2025-05-16
92,3793,15,33,2025-02-12
93,7843,6996,41,2024-08-10
94,3434,3041,31,2024-12-31
95,1077,713,43,2025-01-08
96,59,6409,21,2024-07-19
97,9899,1413,31,2024-02-29
98,3314,14904,45,2023-11-11
99,9151,8475,25,2025-06-05
100,9267,10821,20,2023-11-09
101,6525,1129,17,2024-01-06
102,2921,7832,29,2023-11-03
103,6751,12276,50,2024-12-18
104,8336,5450,31,2025-04-21
105,3376,12797,32,2025-02-05
106,7878,5770,44,2023-07-31
107,4906,14430,21,2024-05-22
108,5046,2172,9,2023-07-30
