user_id,total_revenue,avg_monthly_revenue,lifetime_months
1,203.2,16.93,12
2,30.94,15.47,2
3,487.49,48.75,10
4,403.17,80.63,5
5,95.26,5.6,17
6,262.24,14.57,18
7,112.71,4.7,24
8,279.7,16.45,17
9,364.75,33.16,11
10,76.52,10.93,7
11,169.29,56.43,3
12,373.3,74.66,5
13,133.7,5.57,24
14,180.45,9.02,20
15,163.59,9.09,18
16,346.61,23.11,15
17,34.28,11.43,3
18,59.57,3.97,15
19,489.97,21.3,23
20,162.6,10.16,16
21,84.61,10.58,8
22,17.41,1.93,9
23,74.97,7.5,10
24,384.8,192.4,2
25,300.95,12.54,24
26,367.99,40.89,9
27,262.81,15.46,17
28,227.02,16.22,14
29,145.2,7.26,20
30,174.34,9.69,18
31,259.48,64.87,4
32,160.69,11.48,14
33,243.61,13.53,18
34,160.79,22.97,7
35,214.02,26.75,8
36,260.22,28.91,9
37,285.56,17.85,16
38,289.51,24.13,12
39,424.17,141.39,3
40,327.87,163.94,2
41,245.56,49.11,5
42,16.29,2.04,8
43,223.85,44.77,5
44,343.03,171.51,2
45,491.72,35.12,14
46,413.95,25.87,16
47,430.13,53.77,8
48,495.21,38.09,13
49,230.19,13.54,17
50,326.97,326.97,1
51,472.37,27.79,17
52,79.45,6.62,12
53,352.28,23.49,15
54,495.51,55.06,9
55,40.95,6.83,6
56,294.04,12.78,23
57,322.38,13.43,24
58,442.49,29.5,15
59,213.54,53.38,4
60,64.34,3.22,20
61,317.07,16.69,19
62,431.37,143.79,3
63,407.83,19.42,21
64,307.12,51.19,6
65,249.06,41.51,6
66,471.9,19.66,24
67,409.34,17.06,24
68,259.92,11.81,22
69,408.83,25.55,16
70,258.6,43.1,6
71,316.68,45.24,7
72,29.05,1.26,23
73,376.83,188.41,2
74,385.65,32.14,12
75,53.81,4.48,12
76,316.41,19.78,16
77,339.24,169.62,2
78,157.75,8.3,19
79,259.84,37.12,7
80,369.47,369.47,1
81,227.54,10.34,22
82,284.01,18.93,15
83,336.7,37.41,9
84,352.01,117.34,3
85,433.17,25.48,17
86,122.99,8.79,14
87,190.79,8.67,22
88,442.91,49.21,9
89,118.75,5.16,23
90,282.47,40.35,7
91,254.66,11.07,23
92,429.68,35.81,12
93,405.86,31.22,13
94,74.16,7.42,10
95,210.13,17.51,12
96,402.64,100.66,4
97,238.81,59.7,4
98,204.33,25.54,8
99,323.78,80.94,4
100,290.56,290.56,1
101,93.45,4.45,21
102,350.7,25.05,14
103,415.29,25.96,16
104,99.1,7.62,13
105,470.57,22.41,21
106,422.72,105.68,4
107,45.87,3.28,14
108,38.59,38.59,1
109,413.45,17.98,23
110,33.99,1.62,21
111,130.7,6.88,19
112,87.76,5.16,17
113,155.44,6.48,24
114,436.65,87.33,5
115,419.09,59.87,7
116,385.54,18.36,21
117,366.67,15.28,24
118,283.0,12.3,23
119,223.22,74.41,3
120,198.49,19.85,10
121,26.03,1.24,21
122,198.76,28.39,7
123,337.92,14.69,23
124,232.98,9.71,24
125,203.21,67.74,3
126,209.29,13.95,15
127,407.19,21.43,19
128,240.38,240.38,1
129,418.24,29.87,14
130,152.07,30.41,5
131,338.4,37.6,9
132,50.52,12.63,4
133,205.6,8.94,23
134,304.54,304.54,1
135,445.1,40.46,11
136,248.27,15.52,16
137,466.88,66.7,7
138,406.41,23.91,17
139,144.66,13.15,11
140,313.45,31.34,10
141,161.12,161.12,1
142,100.92,33.64,3
143,463.14,42.1,11
144,242.51,48.5,5
145,312.28,156.14,2
146,315.23,78.81,4
147,110.19,4.59,24
148,74.41,3.38,22
149,192.8,12.85,15
150,110.06,5.79,19
151,107.86,13.48,8
152,351.67,70.33,5
153,329.73,18.32,18
154,464.81,42.26,11
155,124.74,17.82,7
156,86.14,5.38,16
157,416.76,20.84,20
158,91.47,6.53,14
159,123.46,5.37,23
160,191.61,9.12,21
161,115.15,28.79,4
162,272.21,13.61,20
163,277.47,21.34,13
164,352.2,27.09,13
165,75.03,3.57,21
166,67.05,4.79,14
167,286.82,20.49,14
168,339.69,17.88,19
169,438.06,31.29,14
170,310.9,14.13,22
171,401.67,16.74,24
172,443.84,29.59,15
173,454.95,18.96,24
174,332.91,18.5,18
175,270.47,67.62,4
176,123.47,13.72,9
177,419.85,23.33,18
178,81.01,7.36,11
179,487.97,23.24,21
180,206.02,34.34,6
181,68.61,4.57,15
182,142.93,142.93,1
