subscription_id,user_id,plan_id,subscription_date,expiry_date,amount,is_renewal,status
1,7296,1,2023-10-11,2023-11-10,9.99,False,active
2,6669,3,2024-10-12,2025-10-07,199.99,True,expired
3,2304,3,2023-11-29,2024-11-23,199.99,False,active
4,72,1,2024-08-04,2024-09-03,9.99,True,active
5,2483,1,2024-06-15,2024-07-15,9.99,True,expired
6,8487,2,2024-10-06,2024-11-05,19.99,False,active
7,6353,2,2023-08-25,2023-09-24,19.99,True,active
8,3482,2,2025-03-06,2025-04-05,19.99,False,expired
9,9442,2,2024-10-09,2024-11-08,19.99,True,expired
10,2727,3,2023-07-19,2024-07-13,199.99,False,canceled
11,1406,3,2024-01-29,2025-01-23,199.99,True,canceled
12,143,2,2023-10-07,2023-11-06,19.99,False,expired
13,4687,2,2023-10-14,2023-11-13,19.99,True,active
14,9213,2,2025-05-03,2025-06-02,19.99,False,canceled
15,9311,3,2025-02-10,2026-02-05,199.99,True,active
16,3077,1,2023-07-07,2023-08-06,9.99,False,expired
17,6056,1,2024-01-28,2024-02-27,9.99,True,canceled
18,818,3,2024-08-01,2025-07-27,199.99,True,active
19,1775,2,2024-09-19,2024-10-19,19.99,False,canceled
20,1798,2,2024-03-17,2024-04-16,19.99,False,expired
21,984,3,2023-08-31,2024-08-25,199.99,True,active
22,8584,3,2025-04-19,2026-04-14,199.99,True,canceled
23,4183,3,2024-07-21,2025-07-16,199.99,True,active
24,4618,1,2024-08-08,2024-09-07,9.99,False,active
25,1047,2,2024-02-17,2024-03-18,19.99,False,canceled
26,8339,2,2023-11-08,2023-12-08,19.99,True,expired
27,3500,2,2024-11-09,2024-12-09,19.99,True,expired
28,1689,2,2024-03-01,2024-03-31,19.99,True,canceled
29,5084,2,2024-05-14,2024-06-13,19.99,False,canceled
30,8286,1,2024-11-29,2024-12-29,9.99,True,active
31,197,1,2024-04-08,2024-05-08,9.99,False,expired
32,5207,2,2023-10-14,2023-11-13,19.99,False,canceled
33,1803,2,2023-10-31,2023-11-30,19.99,False,expired
34,4297,1,2023-08-12,2023-09-11,9.99,True,expired
35,610,1,2024-12-29,2025-01-28,9.99,False,expired
36,1683,2,2024-02-23,2024-03-24,19.99,True,canceled
37,1685,2,2024-01-13,2024-02-12,19.99,True,active
38,5994,3,2025-02-11,2026-02-06,199.99,False,canceled
39,8477,2,2024-06-03,2024-07-03,19.99,True,active
40,9319,3,2023-07-15,2024-07-09,199.99,False,canceled
41,7186,2,2025-06-06,2025-07-06,19.99,True,expired
42,3264,1,2024-04-07,2024-05-07,9.99,False,active
43,7807,1,2023-12-07,2024-01-06,9.99,False,active
44,5454,3,2024-12-19,2025-12-14,199.99,True,canceled
45,3107,2,2024-09-28,2024-10-28,19.99,False,expired
46,8833,1,2024-11-24,2024-12-24,9.99,False,canceled
47,5361,2,2025-02-12,2025-03-14,19.99,True,expired
48,6056,1,2024-04-28,2024-05-28,9.99,False,active
49,4055,3,2024-08-25,2025-08-20,199.99,True,canceled
50,2609,2,2023-07-27,2023-08-26,19.99,False,expired
51,2327,1,2025-06-25,2025-07-25,9.99,False,expired
52,7897,2,2025-03-03,2025-04-02,19.99,True,active
53,5411,3,2024-01-02,2024-12-27,199.99,False,canceled
54,7009,3,2024-07-14,2025-07-09,199.99,False,expired
55,3409,1,2024-06-26,2024-07-26,9.99,True,active
56,2485,3,2024-12-06,2025-12-01,199.99,False,active
57,2582,2,2024-03-03,2024-04-02,19.99,True,canceled
58,6296,2,2024-07-20,2024-08-19,19.99,True,canceled
59,5189,1,2025-01-21,2025-02-20,9.99,False,expired
60,1004,1,2025-01-21,2025-02-20,9.99,False,active
