ticket_id,user_id,created_at,resolved_at,status,category,feedback
1,4645,2023-11-01 17:01:53.949448,2023-11-06 17:01:53.949448,closed,billing,Thing write man wind.
2,6630,2024-04-19 13:48:41.750272,2024-04-28 13:48:41.750272,closed,technical,Right bag issue.
3,9594,2023-11-07 08:26:24.933452,2023-11-11 08:26:24.933452,closed,billing,Matter color charge head local.
4,7416,2024-07-20 21:43:12.897162,2024-07-22 21:43:12.897162,open,technical,Film walk help suffer.
5,9251,2024-07-10 21:01:29.738762,2024-07-13 21:01:29.738762,closed,billing,Bad for bill staff interesting course garden religious.
6,750,2023-11-24 06:29:25.002600,2023-11-27 06:29:25.002600,closed,technical,Cover where second late.
7,9590,2024-04-01 13:16:28.135976,2024-04-03 13:16:28.135976,closed,technical,Health study fine bank rise picture.
8,178,2025-01-23 20:34:04.426265,2025-02-01 20:34:04.426265,closed,billing,Important peace threat late single old.
9,3917,2024-01-14 15:11:00.582115,2024-01-19 15:11:00.582115,open,billing,Evening represent team full leg discover.
10,6674,2024-03-12 21:49:49.003854,2024-03-21 21:49:49.003854,open,technical,Who strategy their between try local church medical.
11,8985,2024-10-06 18:10:45.949715,2024-10-09 18:10:45.949715,open,technical,At claim pull smile college statement role beyond.
12,4469,2025-01-27 21:11:07.958082,2025-01-30 21:11:07.958082,closed,billing,Just up truth.
13,8720,2024-07-25 11:52:21.016059,2024-08-03 11:52:21.016059,closed,billing,Sister record according laugh.
14,2168,2024-09-24 22:19:13.810884,2024-09-30 22:19:13.810884,open,billing,Think bill teacher analysis truth.
15,5147,2023-11-15 00:27:16.017884,2023-11-20 00:27:16.017884,closed,technical,Recognize anyone second great these.
16,8853,2024-03-11 16:48:21.927446,2024-03-17 16:48:21.927446,open,billing,Size among truth explain word tell.
17,4164,2024-01-23 22:07:10.472751,2024-02-01 22:07:10.472751,open,billing,Hotel month health military national our game call.
18,8652,2024-12-13 07:23:27.821739,2024-12-17 07:23:27.821739,open,technical,Take attorney suffer item traditional memory political.
19,2001,2024-04-13 18:37:56.535806,2024-04-15 18:37:56.535806,open,technical,Huge affect laugh during.
20,1189,2024-10-03 05:02:13.602529,2024-10-11 05:02:13.602529,closed,technical,Will some sign after military.
21,5374,2023-12-15 17:46:29.434390,2023-12-18 17:46:29.434390,open,technical,Four list dinner foreign avoid water.
22,7394,2025-04-25 09:32:34.974438,2025-05-03 09:32:34.974438,open,billing,Task never every create letter dark.
23,3053,2025-05-20 02:36:30.641732,2025-05-22 02:36:30.641732,open,technical,Model score street direction.
