user_id,total_revenue,avg_monthly_revenue,lifetime_months
1,17.12,0.78,22
2,369.6,33.6,11
3,186.45,186.45,1
4,291.97,24.33,12
5,92.92,4.22,22
6,203.2,16.93,12
7,30.94,15.47,2
8,487.49,48.75,10
9,403.17,80.63,5
10,95.26,5.6,17
11,262.24,14.57,18
12,112.71,4.7,24
13,279.7,16.45,17
14,364.75,33.16,11
15,76.52,10.93,7
16,169.29,56.43,3
17,373.3,74.66,5
18,133.7,5.57,24
19,180.45,9.02,20
20,163.59,9.09,18
21,346.61,23.11,15
22,34.28,11.43,3
23,59.57,3.97,15
24,489.97,21.3,23
25,162.6,10.16,16
26,84.61,10.58,8
27,17.41,1.93,9
28,74.97,7.5,10
29,384.8,192.4,2
30,300.95,12.54,24
31,367.99,40.89,9
32,262.81,15.46,17
33,227.02,16.22,14
34,145.2,7.26,20
35,174.34,9.69,18
36,259.48,64.87,4
37,160.69,11.48,14
38,243.61,13.53,18
39,160.79,22.97,7
40,214.02,26.75,8
41,260.22,28.91,9
42,285.56,17.85,16
43,289.51,24.13,12
44,424.17,141.39,3
45,327.87,163.94,2
46,245.56,49.11,5
47,16.29,2.04,8
48,223.85,44.77,5
49,343.03,171.51,2
50,491.72,35.12,14
51,413.95,25.87,16
52,430.13,53.77,8
53,495.21,38.09,13
54,230.19,13.54,17
55,326.97,326.97,1
56,472.37,27.79,17
57,79.45,6.62,12
58,352.28,23.49,15
59,495.51,55.06,9
60,40.95,6.83,6
61,294.04,12.78,23
62,322.38,13.43,24
63,442.49,29.5,15
64,213.54,53.38,4
65,64.34,3.22,20
66,317.07,16.69,19
67,431.37,143.79,3
68,407.83,19.42,21
69,307.12,51.19,6
70,249.06,41.51,6
71,471.9,19.66,24
72,409.34,17.06,24
73,259.92,11.81,22
74,408.83,25.55,16
75,258.6,43.1,6
76,316.68,45.24,7
77,29.05,1.26,23
78,376.83,188.41,2
79,385.65,32.14,12
80,53.81,4.48,12
81,316.41,19.78,16
82,339.24,169.62,2
83,157.75,8.3,19
84,259.84,37.12,7
85,369.47,369.47,1
86,227.54,10.34,22
87,284.01,18.93,15
88,336.7,37.41,9
89,352.01,117.34,3
90,433.17,25.48,17
91,122.99,8.79,14
92,190.79,8.67,22
93,442.91,49.21,9
94,118.75,5.16,23
95,282.47,40.35,7
96,254.66,11.07,23
97,429.68,35.81,12
98,405.86,31.22,13
99,74.16,7.42,10
100,210.13,17.51,12
101,402.64,100.66,4
102,238.81,59.7,4
103,204.33,25.54,8
104,323.78,80.94,4
105,290.56,290.56,1
106,93.45,4.45,21
107,350.7,25.05,14
108,415.29,25.96,16
109,99.1,7.62,13
110,470.57,22.41,21
111,422.72,105.68,4
112,45.87,3.28,14
113,38.59,38.59,1
114,413.45,17.98,23
115,33.99,1.62,21
116,130.7,6.88,19
117,87.76,5.16,17
118,155.44,6.48,24
119,436.65,87.33,5
120,419.09,59.87,7
121,385.54,18.36,21
122,366.67,15.28,24
123,283.0,12.3,23
124,223.22,74.41,3
125,198.49,19.85,10
126,26.03,1.24,21
127,198.76,28.39,7
128,337.92,14.69,23
129,232.98,9.71,24
130,203.21,67.74,3
131,209.29,13.95,15
132,407.19,21.43,19
133,240.38,240.38,1
134,418.24,29.87,14
135,152.07,30.41,5
136,338.4,37.6,9
137,50.52,12.63,4
138,205.6,8.94,23
139,304.54,304.54,1
140,445.1,40.46,11
141,248.27,15.52,16
142,466.88,66.7,7
143,406.41,23.91,17
144,144.66,13.15,11
145,313.45,31.34,10
146,161.12,161.12,1
147,100.92,33.64,3
148,463.14,42.1,11
149,242.51,48.5,5
150,312.28,156.14,2
151,315.23,78.81,4
152,110.19,4.59,24
153,74.41,3.38,22
154,192.8,12.85,15
155,110.06,5.79,19
156,107.86,13.48,8
157,351.67,70.33,5
158,329.73,18.32,18
159,464.81,42.26,11
160,124.74,17.82,7
161,86.14,5.38,16
162,416.76,20.84,20
163,91.47,6.53,14
164,123.46,5.37,23
165,191.61,9.12,21
166,115.15,28.79,4
167,272.21,13.61,20
168,277.47,21.34,13
169,352.2,27.09,13
170,75.03,3.57,21
171,67.05,4.79,14
172,286.82,20.49,14
173,339.69,17.88,19
174,438.06,31.29,14
175,310.9,14.13,22
176,401.67,16.74,24
177,443.84,29.59,15
178,454.95,18.96,24
179,332.91,18.5,18
180,270.47,67.62,4
181,123.47,13.72,9
182,419.85,23.33,18
183,81.01,7.36,11
184,487.97,23.24,21
185,206.02,34.34,6
186,68.61,4.57,15
187,142.93,142.93,1
188,374.08,34.01,11
189,133.38,14.82,9
190,55.59,3.47,16
191,442.6,88.52,5
192,61.46,3.07,20
193,265.9,66.47,4
194,11.7,0.49,24
195,401.6,100.4,4
196,121.93,5.54,22
197,224.09,22.41,10
198,46.83,23.41,2
199,325.88,54.31,6
200,242.88,242.88,1
201,433.52,86.7,5
202,394.79,28.2,14
203,72.22,4.25,17
204,471.53,117.88,4
205,181.5,8.64,21
206,394.85,17.17,23
207,91.94,4.38,21
208,475.52,29.72,16
209,251.95,251.95,1
210,295.22,15.54,19
211,316.73,26.39,12
212,266.92,26.69,10
213,240.09,13.34,18
214,360.04,90.01,4
215,91.34,4.57,20
216,122.59,20.43,6
217,32.92,1.94,17
218,303.95,23.38,13
219,488.28,32.55,15
220,358.99,15.61,23
221,491.75,37.83,13
222,60.81,10.13,6
223,160.9,8.94,18
224,250.31,22.76,11
225,446.52,18.61,24
226,248.63,19.13,13
227,67.32,3.54,19
228,447.11,55.89,8
229,55.64,5.56,10
230,93.96,4.95,19
231,71.1,5.08,14
232,202.36,13.49,15
233,222.41,13.9,16
234,489.85,122.46,4
235,467.45,66.78,7
236,358.76,71.75,5
237,85.17,28.39,3
238,178.78,11.17,16
239,165.21,15.02,11
240,450.81,45.08,10
241,436.21,39.66,11
242,253.87,23.08,11
243,426.22,26.64,16
244,486.92,243.46,2
245,148.95,12.41,12
246,95.4,7.34,13
247,483.02,20.13,24
248,16.82,1.29,13
249,433.06,36.09,12
250,46.61,2.12,22
251,209.73,16.13,13
252,398.31,18.97,21
253,24.17,24.17,1
254,467.68,51.96,9
255,282.64,94.21,3
256,148.85,7.44,20
257,123.72,5.89,21
258,89.52,9.95,9
259,274.7,15.26,18
260,387.3,22.78,17
261,12.46,12.46,1
262,11.48,0.52,22
263,291.38,58.28,5
264,471.77,42.89,11
265,33.84,1.69,20
266,135.89,10.45,13
267,140.03,14.0,10
268,492.4,61.55,8
269,137.43,68.72,2
270,64.46,3.58,18
271,246.2,13.68,18
272,241.36,18.57,13
273,222.86,20.26,11
274,391.05,65.17,6
275,484.72,22.03,22
276,167.96,11.2,15
277,89.6,4.98,18
278,446.26,89.25,5
279,385.52,24.09,16
280,380.37,31.7,12
281,109.0,9.91,11
282,12.17,1.35,9
283,331.7,18.43,18
284,42.66,5.33,8
285,295.12,98.37,3
286,442.02,110.5,4
287,12.08,6.04,2
288,400.22,400.22,1
289,134.91,5.87,23
290,307.99,61.6,5
291,481.95,481.95,1
292,486.06,37.39,13
293,49.02,2.33,21
294,166.38,15.13,11
295,229.19,22.92,10
296,207.26,69.09,3
297,445.59,111.4,4
298,436.07,436.07,1
299,178.44,13.73,13
300,195.76,11.52,17
301,315.21,24.25,13
302,112.73,7.52,15
303,106.24,7.08,15
304,28.97,3.22,9
305,350.69,17.53,20
306,93.33,4.06,23
307,201.24,15.48,13
308,99.08,33.03,3
309,105.59,9.6,11
310,334.97,167.49,2
311,246.62,20.55,12
312,279.39,27.94,10
313,169.26,18.81,9
314,176.75,8.03,22
315,331.25,18.4,18
316,346.23,20.37,17
317,67.58,2.82,24
318,166.55,33.31,5
319,140.3,6.1,23
320,90.15,6.44,14
321,485.72,121.43,4
322,81.45,81.45,1
323,470.6,33.61,14
324,430.87,19.59,22
325,82.98,27.66,3
326,228.45,57.11,4
327,484.61,21.07,23
328,298.83,59.77,5
329,100.25,4.56,22
330,351.35,31.94,11
331,427.92,23.77,18
332,125.29,7.37,17
333,347.43,34.74,10
334,425.74,53.22,8
335,52.5,3.09,17
336,23.45,7.82,3
337,10.21,0.93,11
338,73.8,4.1,18
339,62.13,6.9,9
340,365.48,16.61,22
341,29.83,2.49,12
342,55.18,4.6,12
343,469.18,42.65,11
344,132.62,5.77,23
345,458.14,152.71,3
346,179.83,44.96,4
347,294.46,58.89,5
348,157.46,22.49,7
349,111.3,6.96,16
350,392.81,196.41,2
351,238.01,15.87,15
352,40.58,2.14,19
353,216.48,72.16,3
354,373.33,74.67,5
355,320.65,64.13,5
356,475.17,31.68,15
357,29.75,4.96,6
358,110.04,6.11,18
359,257.24,42.87,6
360,244.0,30.5,8
361,364.17,182.09,2
362,448.17,20.37,22
363,170.26,17.03,10
364,124.96,24.99,5
365,101.01,33.67,3
366,213.33,13.33,16
367,283.05,56.61,5
368,364.02,16.55,22
369,154.32,7.35,21
370,46.34,3.31,14
371,400.18,66.7,6
372,207.88,9.45,22
373,171.37,7.45,23
374,320.35,35.59,9
375,113.74,10.34,11
376,246.67,12.33,20
377,250.81,83.6,3
378,193.98,64.66,3
379,475.01,39.58,12
380,415.32,25.96,16
381,89.88,3.91,23
382,94.41,23.6,4
383,390.89,130.3,3
384,471.62,78.6,6
385,342.1,57.02,6
386,354.52,27.27,13
387,475.35,25.02,19
388,277.47,30.83,9
389,77.4,11.06,7
390,193.44,8.41,23
391,439.13,29.28,15
392,329.72,82.43,4
393,325.06,32.51,10
394,452.62,25.15,18
395,309.39,103.13,3
396,48.69,3.04,16
397,135.51,15.06,9
398,204.81,17.07,12
399,334.02,22.27,15
400,58.44,5.31,11
401,289.57,19.3,15
402,388.43,48.55,8
403,416.17,32.01,13
404,320.09,14.55,22
405,87.66,7.97,11
406,496.32,22.56,22
407,269.98,18.0,15
408,58.56,7.32,8
409,488.43,30.53,16
410,485.68,26.98,18
411,444.83,22.24,20
412,375.37,20.85,18
413,419.57,23.31,18
414,16.59,1.19,14
415,492.44,164.15,3
416,280.83,35.1,8
417,220.17,55.04,4
418,215.65,10.27,21
419,20.5,1.21,17
420,155.5,25.92,6
421,155.78,31.16,5
422,285.09,40.73,7
423,199.0,24.88,8
424,231.05,16.5,14
425,287.23,47.87,6
426,445.6,31.83,14
427,332.23,22.15,15
428,368.22,15.34,24
429,118.61,6.98,17
430,159.88,7.99,20
431,168.44,33.69,5
432,50.84,3.39,15
433,30.2,2.52,12
434,324.8,13.53,24
435,141.05,17.63,8
436,181.16,12.08,15
437,113.27,28.32,4
438,259.2,11.27,23
439,463.37,154.46,3
440,242.49,11.02,22
441,28.88,2.89,10
442,471.14,19.63,24
443,138.24,10.63,13
444,236.42,21.49,11
445,449.57,89.91,5
446,254.93,50.99,5
447,63.27,6.33,10
448,209.39,34.9,6
449,201.84,25.23,8
450,114.39,7.63,15
451,38.26,1.82,21
452,192.71,19.27,10
453,317.51,24.42,13
454,170.22,9.46,18
455,184.78,9.24,20
456,388.47,21.58,18
457,79.14,26.38,3
458,303.88,37.98,8
459,106.51,9.68,11
460,375.44,22.08,17
461,467.0,24.58,19
462,431.53,43.15,10
463,393.84,98.46,4
464,146.27,18.28,8
465,400.26,18.19,22
466,199.07,39.81,5
467,418.38,83.68,5
468,437.4,36.45,12
469,26.01,1.45,18
470,66.12,9.45,7
471,404.38,404.38,1
472,286.31,17.89,16
473,384.53,18.31,21
474,388.09,194.04,2
475,281.69,28.17,10
476,277.2,12.05,23
477,163.22,10.88,15
478,457.32,228.66,2
479,166.06,166.06,1
480,330.28,16.51,20
481,83.16,3.46,24
482,134.4,8.4,16
483,46.29,1.93,24
484,337.96,33.8,10
485,200.19,9.53,21
486,241.48,30.18,8
487,237.41,15.83,15
488,153.7,12.81,12
489,364.44,19.18,19
490,378.2,25.21,15
491,498.1,55.34,9
492,460.56,51.17,9
493,308.11,61.62,5
494,437.72,109.43,4
495,93.4,6.67,14
496,238.03,238.03,1
497,436.91,23.0,19
498,180.96,16.45,11
499,216.54,19.69,11
500,356.05,19.78,18
501,154.94,12.91,12
502,306.1,34.01,9
503,184.36,16.76,11
504,53.66,3.83,14
505,249.59,22.69,11
506,300.87,15.84,19
507,76.55,10.94,7
508,275.9,15.33,18
509,307.11,76.78,4
510,406.03,31.23,13
511,421.15,20.05,21
512,135.9,33.98,4
513,13.07,0.57,23
514,313.21,44.74,7
515,361.65,21.27,17
516,58.86,2.94,20
517,295.03,15.53,19
518,172.01,14.33,12
519,255.28,31.91,8
520,225.57,10.74,21
521,12.46,1.56,8
522,150.1,8.83,17
523,388.31,29.87,13
524,129.43,18.49,7
525,405.06,17.61,23
526,474.46,31.63,15
527,320.91,14.59,22
528,315.36,45.05,7
529,147.72,6.71,22
530,283.49,20.25,14
531,220.83,31.55,7
532,408.89,31.45,13
533,450.77,64.4,7
534,306.42,14.59,21
535,458.2,21.82,21
536,160.37,9.43,17
537,190.94,11.23,17
538,249.21,13.85,18
539,239.86,59.97,4
540,135.95,6.18,22
541,441.49,21.02,21
542,44.03,4.4,10
543,377.9,125.97,3
544,79.34,79.34,1
545,402.07,67.01,6
546,391.86,43.54,9
547,25.43,1.21,21
548,174.68,9.7,18
549,34.6,2.88,12
550,157.52,7.5,21
551,228.42,45.68,5
552,155.73,7.42,21
553,173.85,34.77,5
554,290.85,12.12,24
555,143.7,9.58,15
556,165.52,13.79,12
557,243.21,24.32,10
558,24.32,2.43,10
559,385.99,21.44,18
560,81.29,4.28,19
561,361.36,21.26,17
562,164.12,7.46,22
563,411.71,21.67,19
564,163.15,7.42,22
565,226.6,22.66,10
566,449.33,26.43,17
567,336.08,15.28,22
568,341.9,34.19,10
569,412.32,58.9,7
570,273.41,19.53,14
571,184.68,10.86,17
572,356.53,16.21,22
573,293.98,293.98,1
574,325.63,40.7,8
575,200.99,20.1,10
576,88.8,11.1,8
577,51.09,2.69,19
578,314.67,62.93,5
579,109.77,109.77,1
580,137.23,34.31,4
581,482.38,241.19,2
582,275.55,91.85,3
583,284.44,23.7,12
584,332.49,18.47,18
585,332.83,15.85,21
586,129.04,9.22,14
587,411.43,24.2,17
588,111.79,12.42,9
589,260.29,12.39,21
590,62.7,5.23,12
591,265.66,20.44,13
592,117.8,23.56,5
593,21.96,10.98,2
594,403.12,100.78,4
595,348.16,18.32,19
596,309.86,38.73,8
597,332.79,17.52,19
598,97.29,12.16,8
599,214.22,10.71,20
600,286.43,11.93,24
601,62.99,9.0,7
602,41.11,41.11,1
603,87.02,8.7,10
604,311.05,17.28,18
605,419.99,18.26,23
606,410.65,27.38,15
607,272.98,14.37,19
608,89.54,22.39,4
609,96.13,5.06,19
610,119.73,5.21,23
611,330.34,165.17,2
612,40.71,2.91,14
613,248.76,12.44,20
614,398.27,24.89,16
615,340.69,113.56,3
616,391.28,30.1,13
617,336.83,14.03,24
618,385.34,385.34,1
619,451.99,37.67,12
620,141.03,14.1,10
621,439.57,23.14,19
622,421.28,26.33,16
623,382.1,15.92,24
624,421.46,22.18,19
625,381.36,34.67,11
626,202.6,20.26,10
627,284.65,47.44,6
628,191.28,13.66,14
629,80.89,8.09,10
630,140.21,7.01,20
631,201.09,28.73,7
632,30.8,2.8,11
633,12.95,12.95,1
634,71.01,4.18,17
635,337.07,14.04,24
636,374.53,46.82,8
637,297.8,148.9,2
638,408.45,22.69,18
639,147.81,7.04,21
640,101.65,12.71,8
641,436.02,18.17,24
642,385.61,64.27,6
643,436.49,72.75,6
644,362.44,20.14,18
645,404.76,28.91,14
646,257.53,11.71,22
647,408.09,27.21,15
648,66.67,16.67,4
649,331.1,55.18,6
650,219.47,12.19,18
651,172.13,28.69,6
652,164.67,7.48,22
653,245.8,10.24,24
654,315.76,21.05,15
655,110.71,6.15,18
656,312.78,15.64,20
657,41.62,4.62,9
658,346.69,86.67,4
659,77.93,25.98,3
660,62.98,5.73,11
661,147.47,73.73,2
662,50.92,6.37,8
663,280.87,56.17,5
664,134.46,44.82,3
665,199.78,16.65,12
666,266.45,29.61,9
667,328.9,109.63,3
668,268.05,134.03,2
669,375.49,20.86,18
670,64.86,2.7,24
671,293.57,41.94,7
672,266.88,16.68,16
673,453.18,113.3,4
674,28.32,2.83,10
675,227.83,45.57,5
676,216.8,9.03,24
677,362.89,22.68,16
678,254.45,14.14,18
679,295.95,59.19,5
680,272.2,22.68,12
681,288.53,13.11,22
682,290.75,26.43,11
